,美国,叙利亚反对派,阿萨德,伊朗,塞西,哈马斯,以色列,穆斯林兄弟会,基地组织,俄罗斯,黎巴嫩什叶派,土耳其,卡塔尔,沙特,黎巴嫩逊尼派
美国,,Support/9,Against/9,Against/9,NK/9,Against/9,Support/9,NK/9,Against/9,,,,,,
叙利亚反对派,Support/1,,,Against/1,,Support/1,Support/1,,Support/1,Against/1,Against/1,Support/1,Support/1,Support/1,Support/1
阿萨德,Against/1,,,Support/1,,,Against/1,Against/1,Against/1,Support/1,Support/1,Against/1,Against/1,,Against/1
伊朗,Against/1,Against/9,Support/9,,,Support/9,,,,,Support/9,,,,
塞西,NK/1,,,,,Against/1,,Against/9,,,,Against/1,Against/1,Support/1,
哈马斯,Against/1,Support/9,,Support/1,Against/9,,Against/1,,,,,,Support/1,,
以色列,Support/1,Support/9,Against/9,,,Against/9,,,,,,,,,
穆斯林兄弟会,NK/1,,Against/9,,Against/1,,,,,,,Support/1,Support/1,Against/1,
基地组织,Against/1,Support/9,Against/9,,,,,,,,,,,Against/9,
俄罗斯,,Against/9,Support/9,,,,,,,,,,,,
黎巴嫩什叶派,,Against/9,Support/9,Support/1,,,,,,,,,,,
土耳其,,Support/9,Against/9,,Against/9,,,Support/9,,,,,,,
卡塔尔,,Support/9,Against/9,,Against/9,Support/9,,Support/9,,,,,,,
沙特,,Support/9,,,Support/9,,,Against/9,Against/1,,,,,,Support/9
黎巴嫩逊尼派,,Support/9,Against/9,,,,,,,,,,,Support/1,
