apID,scanDt,sqMetric,sqMetVal,sqMetricDesc
A1208,2014-10-06T11:56:20-0400,lines,1630722,Lines
A1208,2015-04-06T17:05:31-0400,lines,1318188,Lines
A1208,2015-07-29T17:58:03-0400,lines,1448234,Lines
A1208,2014-10-06T11:56:20-0400,ncloc,575005,Non Commenting Lines of Code
A1208,2015-04-06T17:05:31-0400,ncloc,447591,Non Commenting Lines of Code
A1208,2015-07-29T17:58:03-0400,ncloc,496222,Non Commenting Lines of Code
A1208,2014-10-06T11:56:20-0400,ncloc_language_distribution,cs=575005,Non Commenting Lines of Code Distributed By Language
A1208,2015-04-06T17:05:31-0400,ncloc_language_distribution,cs=447591,Non Commenting Lines of Code Distributed By Language
A1208,2015-07-29T17:58:03-0400,ncloc_language_distribution,cs=496222,Non Commenting Lines of Code Distributed By Language
A1208,2014-10-06T11:56:20-0400,classes,5228,Classes
A1208,2015-04-06T17:05:31-0400,classes,3740,Classes
A1208,2015-07-29T17:58:03-0400,classes,4743,Classes
A1208,2014-10-06T11:56:20-0400,files,2220,Number of files
A1208,2015-04-06T17:05:31-0400,files,1853,Number of files
A1208,2015-07-29T17:58:03-0400,files,1973,Number of files
A1208,2014-10-06T11:56:20-0400,directories,432,Directories
A1208,2015-04-06T17:05:31-0400,directories,402,Directories
A1208,2015-07-29T17:58:03-0400,directories,312,Directories
A1208,2014-10-06T11:56:20-0400,functions,49708,Functions
A1208,2015-04-06T17:05:31-0400,functions,38778,Functions
A1208,2015-07-29T17:58:03-0400,functions,41782,Functions
A1208,2014-10-06T11:56:20-0400,accessors,29182,Accessors
A1208,2015-04-06T17:05:31-0400,accessors,25396,Accessors
A1208,2015-07-29T17:58:03-0400,accessors,25864,Accessors
A1208,2014-10-06T11:56:20-0400,statements,225853,Number of statements
A1208,2015-04-06T17:05:31-0400,statements,168193,Number of statements
A1208,2015-07-29T17:58:03-0400,statements,197725,Number of statements
A1208,2014-10-06T11:56:20-0400,public_api,34940,Public API
A1208,2015-04-06T17:05:31-0400,public_api,30768,Public API
A1208,2015-07-29T17:58:03-0400,public_api,32725,Public API
A1208,2014-10-06T11:56:20-0400,comment_lines,135572,Number of comment lines
A1208,2015-04-06T17:05:31-0400,comment_lines,125892,Number of comment lines
A1208,2015-07-29T17:58:03-0400,comment_lines,127265,Number of comment lines
A1208,2014-10-06T11:56:20-0400,comment_lines_density,19.1,Comments balanced by ncloc + comment lines
A1208,2015-04-06T17:05:31-0400,comment_lines_density,22,Comments balanced by ncloc + comment lines
A1208,2015-07-29T17:58:03-0400,comment_lines_density,20.4,Comments balanced by ncloc + comment lines
A1208,2014-10-06T11:56:20-0400,public_documented_api_density,41.7,Public documented classes and functions balanced by ncloc
A1208,2015-04-06T17:05:31-0400,public_documented_api_density,41.1,Public documented classes and functions balanced by ncloc
A1208,2015-07-29T17:58:03-0400,public_documented_api_density,36,Public documented classes and functions balanced by ncloc
A1208,2014-10-06T11:56:20-0400,public_undocumented_api,20355,"Public undocumented classes, functions and variables"
A1208,2015-04-06T17:05:31-0400,public_undocumented_api,18131,"Public undocumented classes, functions and variables"
A1208,2015-07-29T17:58:03-0400,public_undocumented_api,20952,"Public undocumented classes, functions and variables"
A1208,2014-10-06T11:56:20-0400,complexity,97218,Cyclomatic complexity
A1208,2015-04-06T17:05:31-0400,complexity,73055,Cyclomatic complexity
A1208,2015-07-29T17:58:03-0400,complexity,85726,Cyclomatic complexity
A1208,2014-10-06T11:56:20-0400,file_complexity,43.8,Complexity average by file
A1208,2015-04-06T17:05:31-0400,file_complexity,39.4,Complexity average by file
A1208,2015-07-29T17:58:03-0400,file_complexity,43.4,Complexity average by file
A1208,2014-10-06T11:56:20-0400,class_complexity,18.6,Complexity average by class
A1208,2015-04-06T17:05:31-0400,class_complexity,19.5,Complexity average by class
A1208,2015-07-29T17:58:03-0400,class_complexity,18.1,Complexity average by class
A1208,2014-10-06T11:56:20-0400,function_complexity,2,Complexity average by function
A1208,2015-04-06T17:05:31-0400,function_complexity,1.9,Complexity average by function
A1208,2015-07-29T17:58:03-0400,function_complexity,2.1,Complexity average by function
A1208,2014-10-06T11:56:20-0400,function_complexity_distribution,1=35852;2=5871;4=1286;6=673;8=781;10=460;12=981,Functions distribution /complexity
A1208,2015-04-06T17:05:31-0400,function_complexity_distribution,1=29467;2=3916;4=1009;6=484;8=334;10=216;12=774,Functions distribution /complexity
A1208,2015-07-29T17:58:03-0400,function_complexity_distribution,1=31932;2=4701;4=1115;6=659;8=726;10=399;12=898,Functions distribution /complexity
A1208,2014-10-06T11:56:20-0400,file_complexity_distribution,0=804;5=308;10=263;20=193;30=277;60=133;90=242,Files distribution /complexity
A1208,2015-04-06T17:05:31-0400,file_complexity_distribution,0=763;5=254;10=230;20=155;30=183;60=95;90=173,Files distribution /complexity
A1208,2015-07-29T17:58:03-0400,file_complexity_distribution,0=712;5=251;10=234;20=176;30=251;60=122;90=227,Files distribution /complexity
A1208,2014-10-06T11:56:20-0400,duplicated_lines,405982,Duplicated lines
A1208,2015-04-06T17:05:31-0400,duplicated_lines,182384,Duplicated lines
A1208,2015-07-29T17:58:03-0400,duplicated_lines,335051,Duplicated lines
A1208,2014-10-06T11:56:20-0400,duplicated_blocks,9009,Duplicated blocks
A1208,2015-04-06T17:05:31-0400,duplicated_blocks,3239,Duplicated blocks
A1208,2015-07-29T17:58:03-0400,duplicated_blocks,7963,Duplicated blocks
A1208,2014-10-06T11:56:20-0400,duplicated_files,706,Duplicated files
A1208,2015-04-06T17:05:31-0400,duplicated_files,382,Duplicated files
A1208,2015-07-29T17:58:03-0400,duplicated_files,623,Duplicated files
A1208,2014-10-06T11:56:20-0400,duplicated_lines_density,24.9,Duplicated lines balanced by statements
A1208,2015-04-06T17:05:31-0400,duplicated_lines_density,13.8,Duplicated lines balanced by statements
A1208,2015-07-29T17:58:03-0400,duplicated_lines_density,23.1,Duplicated lines balanced by statements
A1208,2014-10-06T11:56:20-0400,weighted_violations,183031,Weighted Issues
