----------Proj-----------
prID,prStatus,StartDt,EndDt,prCap,PrimaryRel,PrimaryApp,actCostTot,workingFcst,pfourMarkBudg,markedBudg,actBudgVar,prePstDefTot,aetDefTot,defsPerMil,pstDefsPMil,prDom,prComp,baArchDevHrsPerDef,p4VelGateDt,actCostLabor,actCostHWSW,actCostKBC,PCRCt,invCateg,EBNCt,hrsTot,hrsTypeCons,hrsTypeFTE,hrsTypeKBC,hrsTypeOSVNear,hrsTypeOSVOff,hrsTypeOSVOn,hrsArch,hrsBA,hrsDev,hrsInf,hrsOther,hrsPM,hrsPS,hrsQA,hrsRsGeneric,hrsRsNamed,hrsDomA,hrsDomB,hrsDomF,hrsDomC,hrsDomD,hrsDomE,hrsDomS,hrsDomG,hrsDomH,hrsDomV,hrsDomT,hrsDomV2,hrsDomE2,hrsDomDD,hrsDomU,hrsDomW,hrsDomR,hrsDomZ,hrsDomI,hrsDomK,hrsDomL,hrsDomM,hrsDomOther,hrsDomN,hrsDomO,hrsDomP,hrsDomU2,expTeam,expPM,expBA,expArch,expDev,expQA,expInf,expPS,hrsKurTot,hrsBAArchDevOSVTot,hrsBAArchDevOffTot,pctBAArchDevOffsh,pr80PctDt,prStartDayOfYear
P438,Completed,03/01/2012,07/01/2013,allOther,2013 FEB MAJOR,A151  ,747294.09,771152,774481,813996,0.918056219,15,15,20.07241888,0,F,N,321,08/29/2012,745440.71,0,1853.38,5,IC192,63,10331.9,0,3077.8,0,480.8,2716.8,4056.5,491,1520.9,2804.3,27.2,0,2659.8,42.7,2786,4411.3,5920.6,0,0,0,0,0,161,284.4,10,0,0,0,107,0,71,0,36,0,0,64,0,18.4,0,3997.2,0,2971.9,2611,0,3461,4080,3082,113,3120,4106,NA,3972,0.35,3611.1,1660.4,0.34,02/01/2013,61
P482,Completed,02/01/2012,03/29/2013,allOther,2013 FEB MAJOR,A159  ,4182292.09,4194468,4209452,4227029.72,0.989416296,153,153,36.58281074,1.434620029,F,N,283,09/21/2012,4178974.78,0,3317.31,10,IC192,25,64983.9,96,8601.4,0,1178,34531.3,20577.2,3093.6,9386.7,30880.9,454.8,10,3669.1,192.1,17296.7,44548.4,20435.5,4,1880,18149,0,0,8,683.5,4,0,0,0,2098.2,0,0,89,0,0,0,141.7,551.7,11003.9,13754.3,14389,74,1153.3,1000.3,0,2328,2203,1909,1948,3706,3576,NA,4098,-0.86,38536.8,23668.7,0.55,02/01/2013,32
P121,Completed,06/01/2012,10/09/2013,allOther,2013 MAY BCR,A9953 ,3008372.25,3106554.42,2434247.42,3106554.42,0.968395155,86,86,28.58688781,0.664811344,I,N,270,01/09/2013,2952003.4,0,56368.85,10,IC192,31,44616.2,231.5,8760.5,0,233.6,18092.6,17298,2116.6,7989.1,13076.4,508.5,20,3012.4,128.7,17764.5,25365.5,19250.7,705.7,13220.6,3835.5,120,0,1781,80,4,43,0,0,3608.7,2,0,10,0,0,0,8137.9,556.7,487.9,3261.3,7096.1,79,914,672.8,0,2458,3843,1596,957,3448,3712,4255,4250,0.19,18330,6964.1,0.3,06/01/2013,153
P223,Completed,01/28/2013,10/11/2013,allOther,2013 AUG MAJOR,A2203 ,1635560.02,1690191,1289961,1690191,0.967677629,100,100,61.14113746,3.668468247,F,N,158,03/25/2013,1580200.02,2760,52600,8,IC192,3,24848.4,64,4343.8,0,1087,15082.4,4271.2,769,1354.9,13715.3,402.9,4,1404.5,197.4,7000.4,18734.1,6114.3,0,1154.8,9952.9,0,0,24,3208.5,4,0,0,0,874,0,0,0,0,0,0,0,0,1792.5,4051.3,3340.9,0,25,420.5,0,3511,4330,2933,3416,4111,2424,NA,4122,-1.28,13642.5,10197.4,0.64,08/01/2013,28
P273,Completed,01/03/2012,01/08/2013,allOther,2012 NOV MAJOR,A1758 ,1154250.94,1234524,1234524,1234524,0.934976509,58,58,50.24903857,0,F,N,191,05/23/2012,1154250.94,0,0,5,IC192,8,17230.1,51,4001.4,0,0,7081.1,6096.6,1090,2132.7,7863.7,188,0,2433.9,126,3395.8,9189.6,8040.5,0,6624.2,4154.9,0,0,8,0,2,0,0,0,1913.9,0,0,0,0,0,0,44.1,0,259.7,2787.1,840.9,175,295.3,125,0,2919,3059,3094,874,3509,1861,NA,4463,-0.82,8240.6,4129.3,0.37,11/01/2012,3
P440,Completed,02/01/2012,01/31/2014,allOther,2013 AUG MAJOR,A2812 ,4364707.44,4439428,6595242,5146962,0.848016255,29,29,6.644202481,0.22911043,I,Y,712,12/11/2012,1755253.54,2402446,207007.9,16,IC150,0,27323.3,961.5,12051.9,0,180,7215.9,6914,3220.5,3566.5,13857.2,811.5,10,1773.6,79.5,4004.5,9872.9,17450.4,206,33.5,1752,0,0,6353.4,0,0,0,0,0,0,119,89,0,0,0,0,17098.6,650.5,335.5,54.5,604.8,26.5,0,0,0,3035,1913,3036,1428,3923,3418,3949,4026,-1.04,11968,5410,0.26,08/01/2013,32
P123,Completed,01/14/2013,12/31/2014,allOther,2014 MAY RELEASE 1,A1807 ,4123859.75,4112391,2546287,3857235,1.069123284,461,461,111.7884768,0.727473819,E,Y,72,08/20/2013,3353557.85,695386.9,74915,10,IC150,40,53549.8,3,9211.8,0,135,30552.3,13647.7,3155.4,2644.9,27251.5,922.5,0,1722,303.5,17550,39092.6,14457.2,84,5011.7,11502.9,0,0,1809,0,12,15,60,0,0,477,1363,85.4,0,0,0,1869,0,9870.3,5427.5,1652,280,12530,1501,0,3218,3083,1961,2318,4179,4232,NA,4246,4.94,26491,16733.8,0.51,06/01/2014,14
P354,Completed,03/01/2012,02/28/2014,allOther,,,5071057.75,5024266.68,3076573.01,4806333.52,1.055078206,778,342,153.4196687,0,L,N,101,05/18/2012,4892747.87,0,178309.88,39,IC217,0,76469.1,28,13970.7,2,0,42983.7,19484.7,858,2625.1,30939.4,501.1,10,4280.5,142.8,37112.2,59012.8,17456.3,11568.3,1383,424,3222.1,0,6443.4,261,25778,0,0,0,975,0,1345,0,0,0,0,0,163,21262.8,0,1210.9,286,354,1792.6,0,3056,2142,1827,3349,3197,4030,NA,4114,-1.26,28680.8,21119.5,0.61,06/01/2013,61
P615,Completed,02/06/2012,02/15/2013,allOther,2012 AUG MAJOR,A77   ,794153.52,813976,738176,738176,1.075832213,21,21,26.44324991,0,L,N,384,03/22/2012,794153.52,0,0,2,IC307,1,12932.7,43,780.5,0,0,9519.5,2589.7,81,124,7865.1,71,0,410.1,53.5,4328,11686.4,1246.3,0,0,0,0,0,0,0,32.5,0,0,0,122,0,0,0,0,0,0,0,0,12638.9,0,96.3,43,0,0,0,2927,2608,2831,3303,4317,996,NA,3876,-1,7632.1,6149.1,0.76,08/01/2012,37
P453,Completed,07/02/2012,09/27/2013,allOther,2013 AUG MAJOR,A2020 ,3804520.74,3804521.11,3552656.11,3617656.11,1.051653508,288,288,75.69941648,0.262845196,K,N,143,02/28/2013,3736720.74,0,67800,21,IC108,93,58917.3,263.8,15950.9,0,0,31051.5,11651.1,2692,6817,31804.5,268.5,12,2213.5,180.5,14929.3,38816.1,20101.2,0,1852.5,526.5,0,0,30.5,2792,0,0,0,0,1844.6,0,0,10,0,0,0,1701.8,45947.9,0,1982,1241.5,72.5,326.5,589,0,3683,4417,3853,1350,4058,4309,NA,4032,0.35,29487.1,20207.1,0.49,08/01/2013,184
